127.0.0.1 - - [03/Mar/2022:11:16:38 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:16:39 +0530] "GET /flixme-webapp/ HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:16:39 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:16:47 +0530] "GET /flixme-webapp/login HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:16:49 +0530] "GET /flixme-webapp/register HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:16:51 +0530] "GET /flixme-webapp/ HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:33:26 +0530] "GET /flixme-webapp/ HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:33:57 +0530] "GET /flixme-webapp/ HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:33:58 +0530] "GET /flixme-webapp/login HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:33:59 +0530] "GET /flixme-webapp/register HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:34:46 +0530] "GET /flixme-webapp/ HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:34:50 +0530] "GET /flixme-webapp/ HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:35:15 +0530] "GET /flixme-webapp/login HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:35:16 +0530] "GET /flixme-webapp/register HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:35:40 +0530] "POST /flixme-webapp/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:35:41 +0530] "GET /flixme-webapp/ HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:35:47 +0530] "GET /flixme-webapp/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:35:47 +0530] "GET /flixme-webapp/login HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:35:48 +0530] "GET /flixme-webapp/login HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:36:03 +0530] "POST /flixme-webapp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:36:03 +0530] "GET /flixme-webapp/ HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:36:10 +0530] "GET /flixme-webapp/view-profile HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:36:16 +0530] "GET /flixme-webapp/edit-profile HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:36:43 +0530] "POST /flixme-webapp/edit-profile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:36:43 +0530] "GET /flixme-webapp/view-profile HTTP/1.1" 200 2128
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:36:49 +0530] "GET /flixme-webapp/edit-password HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:37:05 +0530] "POST /flixme-webapp/edit-password HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:37:05 +0530] "GET /flixme-webapp/ HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:37:08 +0530] "GET /flixme-webapp/check-balance HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:37:13 +0530] "GET /flixme-webapp/edit-balance HTTP/1.1" 200 1997
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:37:18 +0530] "POST /flixme-webapp/edit-balance HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:37:18 +0530] "GET /flixme-webapp/ HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:37:20 +0530] "GET /flixme-webapp/check-balance HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:37:25 +0530] "GET /flixme-webapp/all-movies HTTP/1.1" 200 2176
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:37:40 +0530] "GET /flixme-webapp/movie-details?id=1 HTTP/1.1" 200 2039
